Category;Category name;AppNexus;AppNexus Category
IAB1;Arts & Entertainment;Arts & Entertainment;10
IAB1-1;Books & Literature;Books & Literature;7984
IAB1-2;Celebrity Fan/Gossip;Celebrity News (Arts & Entertainment);7992
IAB1-3;Fine Art;Visual Art & Design (Arts & Entertainment);8014
IAB1-4;Humor;Humor (Arts & Entertainment);8000
IAB1-5;Movies;Movies (Arts & Entertainment);8002
IAB1-6;Music;Music (Arts & Entertainment);8004
IAB1-7;Television;TV & Video (Arts & Entertainment);8012
IAB2;Automotive;Autos & Vehicles;6
IAB2-1;Auto Parts;Vehicle Parts & Accessories (Autos & Vehicles);8046
IAB2-2;Auto Repair;Vehicle Maintenance (Autos & Vehicles);8044
IAB2-3;Buying/Selling Cars;Car Shopping (Shopping);8520
IAB2-4;Car Culture;Autos & Vehicles;6
IAB2-5;Certified Pre-Owned;Car Shopping (Shopping);8520
IAB2-6;Convertible;Performance Vehicles (Autos & Vehicles);8026
IAB2-7;Coupe;Performance Vehicles (Autos & Vehicles);8026
IAB2-8;Crossover;Trucks & SUVs (Autos & Vehicles);8038
IAB2-9;Diesel;Hybrid & Alternative Vehicles (Autos & Vehicles);8028
IAB2-10;Electric Vehicle;Hybrid & Alternative Vehicles (Autos & Vehicles);8028
IAB2-11;Hatchback;Hybrid & Alternative Vehicles (Autos & Vehicles);8028
IAB2-12;Hybrid;Hybrid & Alternative Vehicles (Autos & Vehicles);8028
IAB2-13;Luxury;Performance Vehicles (Autos & Vehicles);8026
IAB2-14;MiniVan;Trucks & SUVs (Autos & Vehicles);8038
IAB2-15;Mororcycles;Motorcycles (Autos & Vehicles);8030
IAB2-16;Off-Road Vehicles;Off-Road Vehicles (Autos & Vehicles);8032
IAB2-17;Performance Vehicles;Performance Vehicles (Autos & Vehicles);8026
IAB2-18;Pickup;Trucks & SUVs (Autos & Vehicles);8038
IAB2-19;Road-Side Assistance;Vehicle Maintenance (Autos & Vehicles);8044
IAB2-20;Sedan;Autos & Vehicles;6
IAB2-21;Trucks & Accessories;Commercial Vehicles (Autos & Vehicles);8024
IAB2-22;Vintage Cars;Classic Vehicles (Autos & Vehicles);8022
IAB2-23;Wagon;Autos & Vehicles;6
IAB3;Business;Business & Industry;8
IAB3-1;Advertising;Advertising & Marketing (Business & Industry);8090
IAB3-2;Agriculture;Agriculture & Forestry (Business & Industry);8094
IAB3-3;Biotech/Biomedical;Pharmaceuticals & Biotech (Business & Industry);8120
IAB3-4;Business Software;Business Services (Business & Industry);8104
IAB3-5;Construction;Property Development (Real Estate);8420
IAB3-6;Forestry;Agriculture & Forestry (Business & Industry);8094
IAB3-7;Government;Law & Government;7988
IAB3-8;Green Solutions;Energy & Utilities (Business & Industry);8110
IAB3-9;Human Resources;Jobs (Business & Industry);8118
IAB3-10;Logistics;Transportation & Logistics (Business & Industry);8130
IAB3-11;Marketing;Advertising & Marketing (Business & Industry);8090
IAB3-12;Metals;Energy & Utilities (Business & Industry);8110
IAB4;Careers;Jobs (Business & Industry);8118
IAB4-1;Career Planning;Jobs (Business & Industry);8118
IAB4-2;College;College and University (Education);8322
IAB4-3;Financial Aid;Grants & Financial Assistance (Finance);8166
IAB4-4;Job Fairs;Jobs (Business & Industry);8118
IAB4-5;Job Search;Jobs (Business & Industry);8118
IAB4-6;Resume Writing/Advice;Jobs (Business & Industry);8118
IAB4-7;Nursing;Health Education & Medical Training (Health);8222
IAB4-8;Scholarships;Grants & Financial Assistance (Finance);8166
IAB4-9;Telecommuting;Jobs (Business & Industry);8118
IAB4-10;U.S. Military;Military (Law & Government);8342
IAB4-11;Career Advice;Jobs (Business & Industry);8118
IAB5;Education;Education;7986
IAB5-1;7-12 Education;Childhood Education (Education);8320
IAB5-2;Adult Education;Continuing Education (Education);8324
IAB5-3;Art History;College and University (Education);8322
IAB5-4;Colledge Administration;Education;7986
IAB5-5;College Life;College and University (Education);8322
IAB5-6;Distance Learning;Continuing Education (Education);8324
IAB5-7;English as a 2nd Language;Continuing Education (Education);8324
IAB5-8;Language Learning;Continuing Education (Education);8324
IAB5-9;Graduate School;College and University (Education);8322
IAB5-10;Homeschooling;Childhood Education (Education);8320
IAB5-11;Homework/Study Tips;Childhood Education (Education);8320
IAB5-12;K-6 Educators;Childhood Education (Education);8320
IAB5-13;Private School;Childhood Education (Education);8320
IAB5-14;Special Education;Childhood Education (Education);8320
IAB5-15;Studying Business;Continuing Education (Education);8324
IAB6;Family & Parenting;Family & Relationships (Lifestyles);8390
IAB6-1;Adoption;Social Services (Law & Government);8346
IAB6-2;Babies & Toddlers;Family & Relationships (Lifestyles);8390
IAB6-3;Daycare/Pre School;Childhood Education (Education);8320
IAB6-4;Family Internet;Family & Relationships (Lifestyles);8390
