AppNexus ID;Account Category Id;Parent account category ID;Main category
175827;8803;;Safe from 9/11
422031;14766;;Safe from Accidents
58926;4992;;Safe from Alcohol
58930;5021;;Safe from Drugs
486927;15837;;Safe from Firearms
58940;4991;;Safe from Gambling
58944;4989;;Safe from Mature
396002;14425;;Safe from Negative Airline Content
58948;4990;;Safe from Negative News
283481;12776;;Safe from Negative Oil Industry Content
58952;5023;;Safe from Profanity and Hate Speech
283480;12777;;Safe from Tobacco
77772;5302;;Safe from Torrent
