AppNexus ID;Lotame ID;Audience Name
155938;6281;Declared Parents 
106023;3493;Moms 
155939;6115;Declared Dads 
155940;6120;Parents of Infants 
155941;6121;Parents of Toddlers 
155942;6122;Parents of Young Children 
155943;6123;Parents of Pre-Teens 
155944;6124;Parents of Teens 
1434622;19408;No Children in Household 
106021;3847;Pet Owners 
155945;6126;Level of Education - High School Degree 
155946;6127;Level of Education - Some College 
155947;6128;Level of Education - College Degree 
155948;6129;Level of Education - Advanced Degree 
155949;6149;Relationship Status - Divorced 
155950;6150;Relationship Status - Engaged 
155951;6151;Relationship Status - In a Relationship 
155952;6152;Relationship Status - Single 
155953;6153;Relationship Status - Married 
155954;6154;Relationship Status - Widowed 
155955;6130;HHI Less Than $25k 
155956;6131;HHI $25k - $59k 
155957;6132;HHI $60k - $74k 
155958;6133;HHI $75k - $99k 
155959;6134;HHI $100k + 
1434604;20088;HHI 150k-250k 
1434605;20090;HHI 250k+ 
155960;6135;Primary Residence - Apartment 
155961;6136;Primary Residence - Condo 
155962;6137;Primary Residence - Single-Family Home 
1434620;17097;Moved Within Last 6 Months 
155964;6143;Length of Residence - Less than 3 Years
155965;6144;Length of Residence - 3-5 Years 
155966;6145;Length of Residence - 6-9 Years 
155967;6146;Length of Residence - 10+ Years 
155968;6147;Primary Residence - Owns 
155969;6148;Primary Residence - Rents 
1434598;20083;Ethnicity - White 
1434592;20084;Ethnicity - African-American 
1434593;20085;Ethnicity - Asian 
1434595;20086;Ethnicity - Middle Eastern 
1434596;20087;Ethnicity - Native American 
1434594;5918;Ethnicity - Hispanic 
1467148;17941;Spanish Speakers
132749;5901;Hispanic or Spanish Speakers 
155970;6117;Credit Level - Excellent 
155971;6118;Credit Level - Good 
155972;6119;Credit Level - Poor 
1434608;6139;Home Value - 0k-200k 
1434609;6140;Home Value - 200k-400k 
1434610;6141;Home Value - 400k-750k 
1434611;6142;Home Value - 750k+ 
1434582;6286;C-Level Executives 
202794;7875;Finance Professionals 
202795;7867;IT Professionals 
202796;7876;Small Business Professionals 
106013;3818;College Students 
