AppNexus ID;Lotame ID;Audience Name
105965;3936;Art 
105966;3831;Art - Books & Magazines 
1467160;37236;Young Adult Literature
105967;3819;Art - Photography 
105990;2722;Automobiles 
643032;24120;Automobile Domestic 
643036;24123;Automobile Foreign 
105991;5008;Compact-sized Cars 
105992;5026;Mid-sized Cars 
105993;5030;Full-sized Cars 
123845;5581;Hybrid Cars 
105994;4880;Luxury Cars 
105995;4883;Sports Cars 
123846;5600;Sport Utility Vehicles (SUVs) 
123847;5599;Motorcycles 
1434565;7563;Business 
105968;2718;Movies 
105969;3854;Movies - Action & Adventure 
105970;3855;Movies - Children & Family 
105971;3856;Movies - Comedy 
105972;3857;Movies - Drama 
105973;5040;Movies - Romance 
105974;3858;Movies - Sci-Fi 
1467149;6545;Summer Blockbusters
105975;2723;Music 
105976;3860;Music - Hip Hop & Rap 
105977;5045;Music - Country 
105978;3859;Music - Pop 
105979;3861;Music - Rock 
105980;3834;Pop Cultre & Celebrity Gossip 
106031;2829;Sports 
106032;3840;Baseball 
106033;3839;Basketball 
106034;5049;College Sports 
106035;3843;Fantasy Sports 
106036;3841;Football 
123848;5526;Golf 
123849;5551;Hockey 
106037;5058;Motor Sports 
106038;4884;Soccer 
106039;3842;Water Sports 
1434534;10128;All Olympic Sports 
1467156;42944;Winter Olympic Ice Hockey
1467157;42942;Winter Olympic Skiing
1467158;42938;Winter Olympic Sports
1467151;43918;Summer Olympic Sports
1434599;43373;FIFA World Cup 
105981;2719;Television 
105982;3836;Television - Animation & Cartoon 
105983;3838;Television - Comedy 
105984;3835;Television - Drama 
105985;3837;Television - News 
105986;4885;Televison - Reality 
105987;3807;Video Games 
105988;5063;Video Games - Console Games 
123850;5601;Video Games - Handheld Games 
105989;3808;Video Games - Online Games 
202797;6050;XBOX 360 Users 
1434580;17096;CD and DVD Purchasers
1434526;43399;Academy Awards 
1434601;43241;Golden Globe Awards 
1434602;43398;Grammy Awards 
1467139;43236;People's Choice Awards
106015;3805;Cooking & Recipes 
106016;2924;Food & Beverages 
106017;4769;Restaurants & Dining 
199933;7465;Thanksgiving Food 
1434533;33109;Alcoholic Beverages 
131277;2726;Health & Fitness 
132746;5603;Dieting and Weight Loss 
1434552;2720;Animal Lovers 
106019;3849;Cat Lovers 
106020;3848;Dog Lovers 
106022;3833;Green Living 
219017;8393;Home Decorating 
219018;8392;Home Improvement 
106024;3491;Parenting 
106025;5208;Party Planners 
123853;5604;Personal Finance 
1537704;47285;Auto Insurance
1537705;47286;Homeowners Insurance
1537706;47287;Life Insurance
1537707;47288;Personal or Health Insurance
106014;2725;School & Education 
1467147;5605;Science & Mathematics
