AppNexus ID;Lotame ID;Audience Name
106027;3827;Bloggers 
105996;3800;Clothes Shopping 
106001;3845;Computers & Software 
213916;5967;Computers & Technology 
155974;6156;Content Sharers 
1434583;31683;Content Voters 
105997;3801;Cosmetics 
1434585;6586;Cruise Travel 
1434590;10058;Discount Travel 
106002;2716;Electronics & Gadgets 
1434600;10143;Frequent Travel 
106003;5082;Home Audio & Video 
155975;5598;Influencers 
155973;6155;Influencers - Commenters 
105998;3799;Jewelry, Watches, & Fashion Accessories 
123852;5609;Mobile Phones 
106028;3824;Online Dating 
642963;24097;Online Shoppers 
642957;24091;Online Shoppers Luxury 
106029;3821;Online Videos 
106030;3823;Photo/Video Uploaders 
642981;24099;Shoppers Children's Clothing 
643217;24146;Shoppers Cosmetics Luxury 
642997;24103;Shoppers Men's Clothing 
642993;24102;Shoppers Men's Clothing Luxury 
643028;24117;Shoppers Women's Clothing 
643008;24105;Shoppers Women's Clothing Luxury 
123851;2714;Social Media Users 
105999;2724;Style & Fashion 
199934;7466;Thanksgiving Travel 
106040;2743;Travel 
106041;3794;Travel - Domestic 
106042;3791;Travel - International 
106043;3998;Travel - Vacation 
1467155;37235;Winter Holiday Travel
