AppNexus ID;Lotame ID;Audience Name
1434623;16648;Offline Baby Product Buyer
1471275;15236;Offline Brand Purchasers - A.1.
1434626;15911;Offline Brand Purchasers - Altoids 
1434628;15954;Offline Brand Purchasers - Always 
1434629;13469;Offline Brand Purchasers - Aquafina 
1434630;15867;Offline Brand Purchasers - Aquafresh 
1434631;15820;Offline Brand Purchasers - Arm & Hammer 
1434632;15822;Offline Brand Purchasers - Arrid 
1434633;15915;Offline Brand Purchasers - Arrowhead 
1434634;16141;Offline Brand Purchasers - Aunt Jemima 
1434635;15955;Offline Brand Purchasers - Aussie 
1434636;15870;Offline Brand Purchasers - Aveeno 
1434637;16193;Offline Brand Purchasers - Axe 
1434638;13481;Offline Brand Purchasers - Baked! Lay's 
1434639;13490;Offline Brand Purchasers - Baked! Ruffles 
1434640;15271;Offline Brand Purchasers - Ball Park 
1434642;15923;Offline Brand Purchasers - Beano 
1434643;16194;Offline Brand Purchasers - Ben & Jerry's 
1434644;15871;Offline Brand Purchasers - Benadryl 
1434645;15872;Offline Brand Purchasers - Bengay 
1434646;16195;Offline Brand Purchasers - Bertolli 
1434647;16196;Offline Brand Purchasers - Best Foods 
1434648;13442;Offline Brand Purchasers - Betty Crocker 
1434649;13466;Offline Brand Purchasers - Birds Eye 
1434650;15848;Offline Brand Purchasers - Blue Bonnet 
1434651;15956;Offline Brand Purchasers - Bounce 
1434653;15965;Offline Brand Purchasers - Bounty 
1434654;15966;Offline Brand Purchasers - Braun 
1434656;16197;Offline Brand Purchasers - Breyers 
1434657;15924;Offline Brand Purchasers - Brillo 
1434658;15825;Offline Brand Purchasers - Brita 
1434660;15826;Offline Brand Purchasers - Burt's Bees 
1434661;13489;Offline Brand Purchasers - Cadbury 
1434662;13437;Offline Brand Purchasers - Campbell's 
1434663;15243;Offline Brand Purchasers - Capri Sun 
1434664;15873;Offline Brand Purchasers - Carefree Pantyliners 
1434665;15967;Offline Brand Purchasers - Cascade 
1434666;15968;Offline Brand Purchasers - Charmin 
1434667;15969;Offline Brand Purchasers - Cheer 
1434668;13451;Offline Brand Purchasers - Cheetos 
1434669;15850;Offline Brand Purchasers - Chef Boyardee 
1434670;15971;Offline Brand Purchasers - Clairol 
1434672;15246;Offline Brand Purchasers - Claussen 
1434673;15827;Offline Brand Purchasers - Clorox 
1434674;13435;Offline Brand Purchasers - Coca-Cola 
1434675;15838;Offline Brand Purchasers - Colgate 
1434677;16345;Offline Brand Purchasers - Colgate-Palmolive 
1434678;15874;Offline Brand Purchasers - Cortaid 
1434679;15972;Offline Brand Purchasers - Cover Girl 
1434683;16054;Offline Brand Purchasers - Crest 
1434684;13492;Offline Brand Purchasers - Crunch 'N Munch 
1434685;13473;Offline Brand Purchasers - Dasani 
1434686;15851;Offline Brand Purchasers - David 
1434687;16055;Offline Brand Purchasers - Dawn 
1434688;13479;Offline Brand Purchasers - Deer Park 
1434689;15902;Offline Brand Purchasers - Depends 
1434690;15916;Offline Brand Purchasers - Digiorno 
1434691;13446;Offline Brand Purchasers - Doritos 
1434692;16199;Offline Brand Purchasers - Dove 
1434693;16056;Offline Brand Purchasers - Downy 
1434694;13450;Offline Brand Purchasers - Dr Pepper 
1434695;16143;Offline Brand Purchasers - Drano 
1434696;15917;Offline Brand Purchasers - Dreyer's 
1434698;15918;Offline Brand Purchasers - Dreyer's/Edy's 
